,other_1,someone_0,other_0,woman_0,woman_1,someone_1,man_0,man_1
clerk,4.349999999999994,0.0,0.0,0.0,0.29999999999999716,0.0,0.0,0.0
electrician,1.049999999999999,8.25,6.800000000000001,0.35000000000000053,0.0,10.249999999999998,0.19999999999999998,0.0
examiner,0.25,0.0,14.05,0.0,0.0,6.800000000000011,0.0,0.0
manager,0.049999999999998934,13.450000000000003,16.45,3.700000000000001,5.849999999999994,1.5000000000000004,0.3500000000000001,3.3
painter,1.8499999999999992,15.450000000000003,7.75,0.40000000000000036,0.49999999999999645,4.75,0.8500000000000001,0.9999999999999998
accountant,0.0,14.3,14.349999999999994,13.599999999999994,0.0,0.0,6.1000000000000005,0.0
chemist,0.35000000000000053,9.200000000000003,1.7000000000000002,0.9000000000000001,5.25,4.599999999999999,2.95,1.5499999999999998
architect,20.8,0.0,0.0,10.700000000000001,0.0,0.0,0.0,0.0
lawyer,0.0,13.5,13.75,5.349999999999994,0.14999999999999997,0.3500000000000014,0.6500000000000057,0.6000000000000001
scientist,18.2,21.94999999999999,9.000000000000002,5.699999999999999,6.450000000000003,29.499999999999996,3.2,2.0999999999999996
administrator,4.25,25.549999999999997,17.199999999999996,16.549999999999997,1.0,2.0,8.699999999999989,1.5
planner,17.349999999999994,0.0,0.0,0.0,5.400000000000006,0.0,0.0,0.0
teacher,4.350000000000001,6.5500000000000025,11.25,1.9999999999999998,3.0999999999999943,15.149999999999999,3.3,1.3499999999999999
pathologist,1.8500000000000014,0.0,0.0,0.0,0.1,15.0,3.6000000000000005,0.0
specialist,5.600000000000001,16.15,3.5,0.0,0.05000000000001137,5.85,0.15,0.0
veterinarian,0.0,2.25,0.3000000000000007,1.9999999999999991,1.4499999999999997,9.950000000000003,0.6499999999999999,0.0
plumber,0.0,7.85,7.799999999999997,2.75,0.0,0.0,2.5,0.0
paramedic,1.6000000000000085,0.6500000000000004,4.25,7.099999999999998,0.0,1.2000000000000028,0.6000000000000001,0.0
technician,0.45000000000000107,4.750000000000014,4.650000000000006,4.349999999999998,0.9499999999999993,1.1000000000000014,2.5999999999999943,0.5
therapist,9.149999999999999,6.449999999999999,2.3,1.1499999999999915,0.10000000000000009,7.050000000000001,1.1499999999999915,0.0
firefighter,7.75,19.150000000000002,5.849999999999998,15.599999999999994,0.15000000000000002,20.400000000000006,1.3000000000000003,0.3500000000000001
paralegal,3.3499999999999996,10.349999999999998,8.0,0.14999999999999147,0.25,1.1500000000000004,0.6499999999999998,0.6500000000000004
machinist,0.8500000000000085,3.200000000000001,1.35,0.44999999999998863,0.0,0.0,1.6,0.0
supervisor,10.700000000000003,7.0,9.150000000000006,0.0,0.0,0.0,0.0,0.0
bartender,0.19999999999999998,0.9500000000000002,12.849999999999994,2.4000000000000057,0.6999999999999997,0.75,2.049999999999997,0.0
doctor,0.20000000000000284,10.250000000000004,1.4500000000000028,3.5,0.3500000000000001,20.75,0.0,0.7499999999999996
hairdresser,3.25,5.700000000000003,4.900000000000001,0.8499999999999999,0.55,2.3499999999999943,0.6500000000000001,0.2500000000000001
librarian,0.0,0.0,4.2499999999999964,0.0,0.0,0.0,1.0,0.0
cashier,1.6999999999999993,0.6499999999999999,2.8999999999999986,0.10000000000000053,19.25,3.950000000000003,0.30000000000000004,2.05
broker,2.8000000000000007,1.75,9.499999999999986,5.25,0.9499999999999997,8.450000000000003,0.8500000000000003,0.24999999999999994
counselor,6.850000000000001,0.25,0.1,7.599999999999994,0.09999999999999998,16.15,11.05,0.1
hygienist,0.75,0.14999999999999947,4.300000000000001,20.65,17.14999999999999,0.8000000000000043,0.75,0.25
nurse,0.0,1.4500000000000028,1.6999999999999993,0.25,0.0,0.0,1.9499999999999993,0.0
secretary,10.75,15.649999999999991,11.200000000000003,0.6500000000000004,0.10000000000000853,27.499999999999993,0.30000000000001137,0.09999999999999998
dispatcher,11.299999999999997,0.0,8.999999999999996,7.199999999999999,0.05000000000000426,4.599999999999998,0.0,8.999999999999986
nutritionist,10.199999999999989,2.700000000000001,3.5500000000000007,7.050000000000001,0.0,17.75,0.0,0.8500000000000001
inspector,3.1500000000000004,16.30000000000001,16.94999999999999,10.549999999999999,3.1999999999999993,8.000000000000004,6.750000000000002,0.75
educator,16.999999999999993,0.0,0.0,0.0,13.900000000000006,17.75,58.7,4.900000000000006
programmer,3.3,29.849999999999998,0.7999999999999998,16.95,0.04999999999999999,24.349999999999994,0.20000000000000018,0.6
mechanic,0.0,8.3,1.3500000000000005,7.649999999999999,0.0,3.25,2.450000000000003,0.40000000000000013
worker,11.849999999999994,0.14999999999999997,11.400000000000002,0.09999999999999998,2.25,4.250000000000002,0.1,1.75
practitioner,10.199999999999996,1.4999999999999964,7.650000000000002,1.1500000000000004,1.0999999999999943,16.150000000000002,0.9000000000000057,0.0
pharmacist,4.150000000000002,1.8500000000000005,2.8,5.450000000000003,0.6000000000000001,3.8999999999999995,1.9500000000000002,0.3500000000000001
investigator,8.399999999999999,11.25,0.0,22.049999999999997,0.0,11.8,0.3,1.1999999999999997
auditor,0.0,8.7,0.0,14.649999999999991,0.0,0.0,1.4000000000000004,0.0
officer,3.9999999999999982,8.950000000000001,0.0,0.1,0.0,5.049999999999997,0.0,0.0
psychologist,0.0,4.450000000000017,14.200000000000003,1.7,5.549999999999997,0.0,2.15,0.0
salesperson,7.25,1.75,0.7500000000000018,7.25,0.0,4.800000000000011,5.500000000000002,3.0500000000000007
advisor,11.25,4.099999999999994,0.29999999999999716,1.2999999999999998,19.64999999999999,12.549999999999997,1.1500000000000057,3.4000000000000004
receptionist,6.25,5.950000000000003,2.0500000000000114,1.4500000000000002,0.35,0.40000000000000036,4.5,2.3499999999999996
dietitian,1.3999999999999915,5.4,4.35,6.950000000000003,0.0,3.9499999999999993,1.8999999999999995,0.0
physician,7.099999999999998,22.85000000000001,1.7500000000000018,3.799999999999997,0.0,21.64999999999999,0.5499999999999999,0.0
appraiser,5.199999999999999,3.3499999999999996,3.5,2.0,11.199999999999989,3.049999999999999,1.5000000000000004,1.45
carpenter,5.549999999999997,2.9,4.950000000000003,1.9000000000000004,8.65,4.1,2.0,0.9000000000000057
engineer,19.70000000000001,2.25,1.4000000000000001,6.649999999999999,9.099999999999994,1.5499999999999972,10.849999999999994,0.5499999999999999
surgeon,15.549999999999997,8.650000000000002,0.0,11.549999999999999,0.0,11.199999999999989,0.0,0.0
baker,4.750000000000007,6.300000000000001,11.0,2.0,0.09999999999999987,0.3,1.6500000000000004,0.15000000000000568
instructor,6.449999999999989,79.25,0.0,0.0,0.0,0.0,100.0,0.0
janitor,7.5,0.75,10.549999999999997,0.5499999999999998,0.0,0.0,0.05,0.10000000000000853
chef,4.549999999999983,4.25,4.35,1.5,2.799999999999997,5.0,1.5999999999999996,0.0
