,woman_0,other_1,other_0,someone_1,someone_0,man_1,woman_1,man_0
administrator,0.5,1.2000000000000002,25.299999999999997,1.5499999999999972,14.349999999999994,0.0,0.0,0.8500000000000001
carpenter,0.0,8.300000000000011,6.349999999999994,13.300000000000011,7.6499999999999915,0.0,0.0,1.9999999999999998
planner,33.849999999999994,4.75,6.5,23.849999999999994,7.600000000000001,0.0,0.0,0.5
supervisor,0.0,21.14999999999999,29.35,0.0,0.0,0.0,0.0,30.450000000000003
investigator,32.99999999999999,6.2499999999999964,14.300000000000004,8.950000000000003,10.050000000000004,0.0,0.0,0.0
electrician,16.249999999999993,3.000000000000001,5.05,0.0,6.050000000000001,0.0,0.0,0.0
librarian,22.75,2.0,0.050000000000000044,1.9000000000000057,2.6999999999999886,0.0,0.0,0.0
appraiser,0.0,5.4,0.0,2.8999999999999986,0.3,0.1,0.0,17.049999999999997
painter,29.6,18.599999999999994,28.700000000000003,0.5,0.5999999999999996,0.0,0.0,0.10000000000000002
inspector,14.100000000000009,12.549999999999997,2.75,44.45,28.5,0.15000000000000002,0.05000000000001137,17.400000000000002
clerk,2.0,0.0,19.1,2.6500000000000057,15.149999999999991,0.0,0.0,4.850000000000001
secretary,0.10000000000000002,29.900000000000006,16.050000000000004,18.2,13.899999999999999,0.45,0.0,20.44999999999999
programmer,18.64999999999999,1.0499999999999998,1.4,9.050000000000004,2.5,15.45,1.35,0.75
firefighter,10.599999999999994,2.1499999999999986,4.299999999999999,1.25,3.55,0.0,0.0,0.24999999999999997
hairdresser,8.0,0.14999999999999947,0.1999999999999999,0.6500000000000004,0.6499999999999995,0.0,0.1,0.0
examiner,19.8,13.55,36.05,0.0,0.0,0.0,0.0,0.0
therapist,23.299999999999983,0.19999999999999973,0.6499999999999999,3.8000000000000007,23.5,0.0,0.0,22.65
dietitian,0.0,0.8999999999999995,7.75,2.3000000000000007,20.200000000000003,0.0,0.0,0.05
veterinarian,42.150000000000006,19.1,22.75,12.949999999999996,15.75,0.09999999999999432,0.8999999999999998,21.19999999999999
paralegal,10.850000000000009,0.10000000000000009,0.20000000000000007,3.3500000000000085,11.249999999999996,0.05,0.0,0.049999999999998934
nurse,0.8999999999999915,0.0,4.200000000000001,7.75,4.599999999999994,0.55,0.15000000000000002,13.75
auditor,15.75,17.900000000000013,12.799999999999997,0.0,0.0,0.0,0.09999999999999432,0.0
teacher,2.9000000000000057,0.75,0.050000000000000266,13.75,6.350000000000001,0.0,0.04999999999999716,0.0
educator,3.1000000000000227,0.0,0.0,7.099999999999994,12.850000000000009,0.04999999999999999,0.0,0.19999999999998863
doctor,0.0,0.4499999999999993,10.75,26.85,6.700000000000003,0.0,0.0,2.85
accountant,45.650000000000006,0.0,3.6500000000000004,17.299999999999994,16.150000000000002,0.0,0.0,29.500000000000007
lawyer,2.25,4.699999999999999,0.19999999999999996,0.0,12.049999999999997,0.0,0.0,11.95
pharmacist,0.0,5.949999999999999,21.2,3.0500000000000114,3.8000000000000003,0.0,0.0,0.0
receptionist,0.10000000000000853,7.799999999999997,4.0,1.8999999999999915,0.5,0.0,0.04999999999999716,0.15
cashier,22.049999999999994,1.4,0.39999999999999997,2.4499999999999993,7.350000000000001,0.0,0.0,0.0
technician,0.0,6.5,1.2,1.6500000000000004,8.7,0.0,0.0,0.20000000000000284
baker,16.14999999999999,8.200000000000003,5.350000000000001,9.949999999999996,6.5,0.0,0.0,23.30000000000001
nutritionist,14.250000000000002,0.0,0.0,0.9000000000000057,18.199999999999996,0.0,0.0,0.0
instructor,0.14999999999999997,10.100000000000001,13.25,7.049999999999983,5.549999999999997,0.0,0.0,1.8499999999999996
architect,0.0,25.449999999999996,30.550000000000004,0.0,0.0,0.0,0.0,18.849999999999994
machinist,0.0,10.950000000000003,10.5,0.0,1.25,0.45000000000000284,0.0,0.0
psychologist,40.39999999999999,1.5500000000000007,21.4,3.749999999999993,3.5,0.3499999999999943,0.05000000000000002,19.799999999999997
manager,0.0,12.349999999999994,14.349999999999994,1.5500000000000007,5.300000000000001,0.0,0.1,0.0
janitor,0.1999999999999993,6.349999999999998,6.649999999999997,3.049999999999997,7.850000000000001,0.0,0.0,2.1499999999999915
plumber,3.8499999999999943,7.700000000000001,2.5,0.0,0.0,0.09999999999999998,0.0,0.09999999999999432
practitioner,40.3,17.050000000000004,16.85000000000001,3.75,0.9499999999999993,0.0,0.0,7.15
engineer,0.0,12.849999999999998,11.350000000000001,0.25,13.899999999999991,0.2,0.15,3.0999999999999943
counselor,33.35,11.249999999999993,19.4,3.0,14.449999999999996,0.0,0.0,42.099999999999994
worker,0.05,10.049999999999997,4.3999999999999915,8.3,7.25,0.0,0.0,10.15
dispatcher,3.0,0.8999999999999995,0.8500000000000003,21.999999999999996,2.45,0.0,0.0,0.0
paramedic,0.55,3.6000000000000014,1.2999999999999972,4.699999999999996,2.0500000000000114,0.0,0.0,1.25
broker,34.499999999999986,18.799999999999997,0.25,9.149999999999999,1.5499999999999998,0.0,0.0,0.25
pathologist,0.0,8.400000000000006,31.299999999999997,0.0,0.0,0.0,0.0,0.0
specialist,0.0,18.350000000000005,27.099999999999998,8.400000000000006,15.3,0.0,0.0,0.7500000000000001
bartender,0.3,9.0,34.849999999999994,11.049999999999997,33.599999999999994,0.0,0.0,53.6
advisor,14.050000000000004,2.4499999999999993,1.3000000000000007,4.2499999999999964,9.950000000000003,0.04999999999999716,0.05,5.45
scientist,7.35,45.3,44.4,16.199999999999996,23.049999999999997,0.2,0.09999999999999432,4.249999999999999
surgeon,0.049999999999998934,4.450000000000003,0.0,15.300000000000011,24.450000000000003,0.0,0.25,0.0
chef,7.1999999999999975,0.0,3.0500000000000007,0.0,0.0,0.0,0.0,0.0
mechanic,0.0,17.150000000000002,11.249999999999998,0.0,5.800000000000001,0.25,4.8500000000000005,0.55
chemist,0.0,11.850000000000001,15.500000000000014,6.400000000000006,11.600000000000001,0.04999999999999999,0.04999999999999999,21.699999999999996
physician,3.5,0.1499999999999999,0.6499999999999999,3.450000000000003,13.800000000000011,0.0,0.0,0.1
hygienist,2.1499999999999773,5.000000000000001,2.3499999999999996,4.75,10.800000000000004,0.0,0.0,1.35
salesperson,10.2,15.650000000000006,6.8500000000000085,13.700000000000003,6.800000000000004,0.0,0.0,9.799999999999999
officer,3.5,1.5499999999999998,0.1,8.75,0.5,0.0,0.0,0.45
