,other_1,man_1,someone_1,man_0,woman_0,other_0,someone_0,woman_1
plumber,0.0,1.6500000000000057,25.799999999999997,0.0,0.0,0.0,6.900000000000006,0.0
therapist,1.6499999999999986,0.0,13.300000000000004,0.0,0.0,10.450000000000003,10.450000000000003,0.0
clerk,10.75,0.85,0.0,1.0,17.75,0.0,0.0,3.8999999999999986
secretary,10.05,0.0,13.2,0.0,4.399999999999977,5.599999999999994,9.150000000000006,1.8499999999999943
bartender,19.049999999999997,0.0,12.899999999999999,0.0,16.599999999999994,0.0,33.849999999999994,1.75
electrician,0.0,0.0,3.0999999999999943,2.8000000000000007,0.0,0.0,9.700000000000003,0.0
mechanic,0.0,1.0,0.0,22.200000000000003,21.400000000000002,0.0,29.150000000000006,0.0
specialist,2.049999999999997,0.0,2.3500000000000014,0.0,5.550000000000001,0.0,3.200000000000003,0.0
paralegal,0.0,0.0,4.500000000000007,0.0,0.0,8.000000000000004,6.200000000000003,0.0
librarian,0.14999999999999858,0.799999999999983,2.75,0.6499999999999915,0.0,2.0,0.45000000000000284,0.0
examiner,0.0,0.75,6.699999999999996,0.6499999999999915,22.75,4.75,8.450000000000003,1.4000000000000001
nurse,1.4500000000000028,1.8000000000000007,0.0,2.8499999999999943,3.5500000000000007,5.550000000000001,0.0,1.1999999999999993
technician,10.200000000000003,4.299999999999983,2.9500000000000006,15.200000000000003,3.8999999999999915,0.0,6.0,0.0
scientist,18.0,0.0,1.6,0.0,0.0,0.0,1.7,0.0
planner,4.599999999999994,2.25,3.6000000000000014,0.0,0.0,4.299999999999997,0.0,0.5000000000000009
carpenter,6.599999999999994,0.0,0.9,0.0,5.650000000000006,7.400000000000006,0.0,10.250000000000002
janitor,0.0,5.150000000000006,1.8499999999999996,12.349999999999994,8.349999999999994,0.0,1.9000000000000004,2.450000000000001
surgeon,9.900000000000006,0.0,0.0,3.95,0.0,8.199999999999996,0.0,0.0
pathologist,0.0,0.6500000000000001,5.299999999999997,0.0,0.0,26.9,0.0,0.0
machinist,0.0,4.199999999999989,20.150000000000006,14.5,4.900000000000002,0.0,17.700000000000003,1.3499999999999996
salesperson,5.850000000000001,15.349999999999994,33.95,12.049999999999997,0.5,5.5,36.15,0.30000000000000004
chef,2.1499999999999986,0.0,0.0,0.0,0.0,0.5500000000000114,0.0,0.0
engineer,1.1500000000000004,3.700000000000017,10.899999999999991,24.650000000000006,7.800000000000001,1.4,10.450000000000003,1.0500000000000007
hairdresser,4.6000000000000085,0.9500000000000028,25.849999999999994,2.8500000000000085,2.4000000000000057,5.600000000000001,0.9000000000000008,2.1000000000000005
firefighter,6.75,2.049999999999997,9.950000000000003,4.949999999999989,18.10000000000001,10.25,0.1499999999999999,3.6999999999999997
advisor,11.5,2.0500000000000114,6.9,0.5499999999999972,1.8500000000000003,14.5,5.199999999999999,0.8500000000000001
practitioner,5.600000000000001,3.45,3.3,4.200000000000001,1.8499999999999996,10.0,4.300000000000001,0.0
counselor,3.4499999999999957,0.0,2.6000000000000014,0.0,0.0,14.500000000000007,5.349999999999994,0.0
manager,5.25,2.3000000000000007,18.89999999999999,0.0,0.9500000000000028,5.000000000000014,46.2,2.0999999999999996
dispatcher,3.65,0.0,30.549999999999997,0.10000000000000142,0.0,3.75,5.6000000000000085,1.8999999999999915
psychologist,6.5,5.900000000000002,3.8000000000000007,11.600000000000001,2.9000000000000057,6.899999999999999,3.25,1.7000000000000028
broker,7.650000000000006,0.0,3.45,0.0,0.7000000000000001,10.499999999999993,4.049999999999997,0.19999999999999996
cashier,6.500000000000007,0.0,5.5,11.649999999999999,7.3500000000000085,2.1500000000000004,5.4,3.200000000000003
chemist,0.9,4.299999999999997,1.5999999999999996,30.550000000000004,4.599999999999998,0.4,0.55,1.5499999999999998
painter,3.3000000000000114,0.0,0.6500000000000021,5.450000000000001,1.5499999999999972,5.6000000000000085,11.649999999999999,0.15000000000000568
administrator,1.8,13.450000000000001,2.5,21.599999999999994,7.450000000000003,3.1000000000000005,4.999999999999993,0.0
worker,27.69999999999999,0.0,12.150000000000006,0.0,0.8000000000000003,6.949999999999989,2.05,2.6999999999999886
accountant,0.0,0.0,0.0,28.450000000000003,9.800000000000011,16.0,8.699999999999989,3.75
baker,7.0,25.80000000000001,0.0,10.450000000000003,6.2,8.699999999999996,0.050000000000000266,10.35
architect,12.399999999999999,4.0,7.950000000000003,0.0,0.0,8.649999999999991,8.300000000000004,0.0
programmer,10.100000000000001,3.200000000000003,7.25,1.6499999999999986,1.3000000000000043,5.599999999999994,68.85,4.700000000000003
receptionist,2.65,0.0,0.0,11.25,0.7999999999999998,1.2999999999999998,8.050000000000004,31.900000000000002
officer,0.0,1.2000000000000028,4.850000000000001,10.25,0.0,0.0,13.100000000000001,0.0
supervisor,1.6999999999999886,0.25000000000000044,0.6500000000000057,0.0,4.099999999999994,0.0,11.25,0.0
inspector,17.800000000000004,0.0,24.65,0.0,0.65,1.2999999999999998,5.3999999999999915,0.0
instructor,4.8999999999999915,16.450000000000003,37.25,0.0,8.700000000000003,7.450000000000003,0.0,1.4000000000000057
teacher,2.000000000000007,0.0,0.0,8.950000000000003,0.7,3.1500000000000057,0.0,0.0
pharmacist,3.650000000000002,0.0,1.8000000000000114,22.349999999999994,0.0,0.0,11.849999999999994,0.4500000000000002
paramedic,4.949999999999989,0.30000000000001137,1.8000000000000007,9.450000000000003,33.55,0.0,0.0,0.85
nutritionist,0.0,0.0,10.3,11.5,15.050000000000011,0.0,10.149999999999999,0.0
appraiser,4.350000000000001,0.0,20.750000000000007,0.0,7.800000000000004,12.5,10.699999999999996,5.900000000000006
veterinarian,1.2500000000000142,1.3000000000000003,8.099999999999994,0.14999999999999858,8.199999999999989,0.0,4.049999999999997,1.5499999999999972
investigator,3.8499999999999943,3.0,1.6499999999999986,0.0,3.8999999999999995,3.9499999999999993,3.5,0.0
lawyer,0.0,2.049999999999997,7.300000000000004,2.8499999999999943,1.3499999999999996,8.750000000000014,0.0,0.0
dietitian,4.149999999999999,0.0,1.5,0.0,4.950000000000003,0.0,0.0,1.0999999999999996
educator,0.0,0.2499999999999858,0.20000000000000284,4.6499999999999915,0.0,2.1000000000000014,1.5,2.700000000000003
auditor,43.95,0.0,4.3999999999999915,2.15,0.0,40.6,18.800000000000004,0.0
hygienist,1.4,0.0,1.65,0.0,0.0,1.2500000000000004,3.700000000000001,0.0
physician,0.25,0.75,1.1,5.450000000000003,0.0,0.6,2.8000000000000003,0.0
doctor,3.5999999999999943,0.0,0.9500000000000028,0.0,1.1499999999999915,0.0,32.45,1.2000000000000028
