,someone_1,man_1,woman_0,other_1,man_0,someone_0,woman_1,other_0
receptionist,1.8999999999999986,0.5000000000000002,0.050000000000000266,9.549999999999997,0.10000000000000053,2.299999999999999,0.09999999999999998,1.8499999999999999
educator,27.450000000000003,4.199999999999989,15.600000000000001,0.0,0.0,32.45,0.9000000000000004,33.7
librarian,0.0,0.0,0.0,0.0,0.0,1.0499999999999998,0.15000000000000002,20.149999999999977
nurse,5.799999999999997,0.0,0.0,17.550000000000004,0.6999999999999886,0.0,0.20000000000000284,0.0
plumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
painter,2.6000000000000014,0.24999999999999994,0.10000000000000142,11.55,5.8500000000000005,6.8,0.4,0.8500000000000014
dispatcher,0.44999999999999996,0.30000000000000004,0.0,5.0,13.000000000000004,0.0,0.700000000000017,12.0
surgeon,7.25,0.0,0.0,0.0,0.0,0.0,0.0,11.5
auditor,0.0,0.0,0.0,0.0,0.0,13.700000000000003,0.0,0.0
chemist,1.75,0.20000000000000284,7.5,7.649999999999999,1.7000000000000002,2.1000000000000005,0.19999999999999996,1.0499999999999998
dietitian,39.650000000000006,0.0,0.9000000000000004,36.55,24.450000000000017,26.799999999999997,0.0,28.950000000000003
therapist,16.200000000000003,0.19999999999999996,8.500000000000014,22.54999999999999,0.25,1.05,0.09999999999999432,0.19999999999999998
architect,0.0,0.0,0.0,0.0,4.2,0.0,0.0,10.350000000000001
firefighter,2.5,0.15000000000000568,0.5,1.3500000000000014,1.25,1.35,0.5999999999999943,3.1500000000000004
programmer,15.100000000000009,0.5999999999999943,9.650000000000002,0.8500000000000001,1.2999999999999998,3.4000000000000004,6.2,9.350000000000001
paralegal,14.799999999999997,5.8500000000000085,0.6500000000000057,7.149999999999999,0.0,0.0,1.2500000000000018,0.0
counselor,2.3000000000000043,0.10000000000000853,7.550000000000001,19.950000000000003,0.0,0.0,0.3500000000000085,11.849999999999994
cashier,0.5999999999999943,0.050000000000000044,13.749999999999993,10.799999999999997,16.949999999999996,2.25,0.10000000000000009,1.3999999999999986
planner,0.0,0.0,14.5,4.900000000000002,0.0,0.0,0.0,1.1499999999999915
officer,0.25,0.0,0.0,3.0,0.8500000000000001,0.0,0.9500000000000002,5.35
electrician,8.349999999999994,0.0,3.25,0.0,5.8500000000000005,8.349999999999994,0.0,11.0
secretary,18.800000000000004,0.1,0.6499999999999986,38.10000000000001,3.6999999999999993,13.149999999999999,0.25,12.850000000000001
technician,3.25,0.05000000000000002,1.200000000000001,10.749999999999996,2.0000000000000018,17.649999999999977,1.0,8.700000000000003
bartender,12.749999999999996,0.44999999999999996,5.050000000000004,0.0,0.8999999999999999,10.0,1.0499999999999972,9.3
lawyer,12.050000000000004,5.750000000000001,11.04999999999999,20.5,15.899999999999991,14.450000000000017,2.6500000000000057,13.600000000000009
teacher,12.650000000000006,0.19999999999999973,7.950000000000001,7.399999999999999,23.1,12.850000000000001,0.15000000000000036,6.6
engineer,13.649999999999999,0.2500000000000142,1.0,25.1,0.3,2.3,3.8999999999999995,11.699999999999996
veterinarian,24.099999999999998,0.20000000000000284,1.5999999999999979,0.0,10.200000000000001,9.450000000000003,0.0,15.200000000000003
hairdresser,5.5000000000000036,1.4,0.34999999999999976,7.300000000000004,8.850000000000001,1.7000000000000002,0.5999999999999943,0.6999999999999997
clerk,4.299999999999997,0.0,0.0,0.0,100.0,0.0,0.0,15.150000000000002
manager,12.249999999999993,0.04999999999999982,5.800000000000004,4.900000000000002,3.6000000000000014,3.3000000000000007,0.29999999999999893,5.150000000000006
machinist,10.850000000000001,0.25,7.450000000000003,0.0,0.0,0.050000000000000044,0.5999999999999999,0.0
doctor,22.700000000000003,0.29999999999999716,0.34999999999999964,16.85,0.25,13.0,0.7,0.30000000000000027
salesperson,0.75,0.0,15.300000000000011,17.299999999999997,4.8,24.049999999999997,0.10000000000000853,7.599999999999998
chef,2.299999999999997,0.0,0.8000000000000114,0.0,3.4000000000000004,0.0,18.250000000000007,2.299999999999997
worker,2.3999999999999986,0.0,6.7,7.249999999999998,0.0,4.1,0.09999999999999998,5.599999999999994
pharmacist,4.249999999999999,0.0,5.350000000000001,23.0,7.299999999999997,0.3000000000000007,0.04999999999999999,0.09999999999999964
mechanic,6.750000000000001,0.0,2.1500000000000004,11.149999999999999,2.549999999999997,8.25,0.7999999999999972,10.899999999999999
practitioner,12.199999999999996,0.10000000000000853,0.5999999999999999,22.65,11.100000000000001,20.500000000000007,1.1500000000000057,19.299999999999997
specialist,1.5999999999999996,0.0,11.949999999999996,21.799999999999997,2.7499999999999996,28.4,0.0,6.949999999999998
instructor,0.0,0.1,0.0,31.650000000000006,0.0,7.200000000000003,0.0,0.0
pathologist,0.0,0.05,17.94999999999999,30.250000000000007,11.999999999999986,15.999999999999996,0.0,0.0
janitor,8.75,0.0,11.950000000000003,21.650000000000006,0.3000000000000007,0.9500000000000028,0.05000000000000002,1.25
baker,35.24999999999999,0.35,2.650000000000002,28.0,9.600000000000001,10.45,1.75,12.700000000000003
carpenter,3.049999999999997,0.15000000000000013,0.8500000000000085,0.1999999999999993,0.15000000000000002,0.15000000000000002,0.29999999999999716,0.75
nutritionist,0.0,0.0,16.950000000000003,25.1,30.1,26.64999999999999,0.0,29.349999999999994
advisor,11.399999999999999,0.75,6.650000000000002,13.350000000000001,1.3500000000000085,10.000000000000004,0.6499999999999999,16.75
scientist,9.0,1.0999999999999999,2.5,16.800000000000004,19.5,19.65,0.7,5.15
inspector,18.25,0.10000000000000009,6.349999999999994,10.5,14.499999999999986,12.2,0.20000000000001705,2.3499999999999996
supervisor,0.0,0.0,8.000000000000002,15.450000000000003,0.5499999999999998,12.749999999999998,0.04999999999999716,0.0
hygienist,3.9000000000000057,0.10000000000000853,10.300000000000004,27.749999999999993,1.9499999999999993,8.549999999999997,0.05000000000000002,17.75
administrator,5.300000000000001,0.75,0.55,17.14999999999999,10.1,0.5,0.15000000000000002,0.3999999999999999
accountant,0.0,0.0,0.9000000000000004,10.850000000000009,18.0,15.049999999999997,0.0,3.6999999999999993
investigator,11.25,0.0,15.400000000000006,0.0,9.949999999999989,15.599999999999998,0.0,13.050000000000002
examiner,0.6500000000000001,0.0,18.5,0.0,10.649999999999999,11.299999999999999,0.0,0.0
physician,9.200000000000003,0.1,13.100000000000001,23.750000000000004,0.14999999999999997,13.300000000000002,0.04999999999999999,0.7
psychologist,5.999999999999999,0.0,2.3999999999999986,27.0,22.0,17.199999999999996,0.04999999999998295,16.9
paramedic,1.0499999999999998,0.0,0.39999999999999947,0.0,10.250000000000004,9.849999999999998,0.0,6.65
appraiser,8.7,0.0,15.700000000000017,18.549999999999997,2.1500000000000004,16.35000000000001,0.29999999999999716,13.249999999999998
broker,4.950000000000003,0.04999999999999993,0.6000000000000001,9.350000000000001,5.150000000000006,14.250000000000014,0.3500000000000001,2.9000000000000004
